SiteCode,Methodology,kingdom,phylum,class,subclass,order,Family ,subfamily,tribe,Genus ,species,comments,abundance 
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Branchiopoda,,Diplostraca,Sididae,,,,,,185
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,,,,,,,163
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Dytiscidae,,,,,,215
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Scirtidae,,,,,,437
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,87
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,,,3
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,,comm_prob_not_in_Ecu,11
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Culicidae,,,Culex,Culex_commevynensis,,24
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Culicidae,,,Culex,Culex_phlogistus,,10
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Tipulidae,,,Maekistocera,Maekistocera_longipennis,,214
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,,,,,,,168
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Belostomatidae,,,,,,182
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Belostomatidae,,,Belostoma,,,1613
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Belostomatidae,,,Belostoma,Belostoma_estevezae,,63
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Nepidae,,,Curicta,Curicta_volxemi,,114
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Notonectidae,,,,,,1695
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Notonectidae,,,Martarega,,,4
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Pleidae,,,,,,64
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Odonata,Coenagrionidae,,,Acanthagrion,Acanthagrion_apicale,,8
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Ostracoda,,,,,,,,,12
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Ostracoda,,Podocopida,,,,,,,8
EC20210916-1K,Metabarcoding ,Eukaryota,Arthropoda,Ostracoda,,Podocopida,Cyprididae,,,,,,243
EC20210917-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,186
EC20210917-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Drosophilidae,,,Drosophila,Drosophila_melanogaster,,90
EC20210918-1K,Metabarcoding ,Eukaryota,Annelida,Clitellata,,,,,,,,,16
EC20210918-1K,Metabarcoding ,Eukaryota,Annelida,Clitellata,Oligochaeta,Tubificida,,,,,,,278
EC20210918-1K,Metabarcoding ,Eukaryota,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,,,,,,14
EC20210918-1K,Metabarcoding ,Eukaryota,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,,,Dero,,,4
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Branchiopoda,,Anomopoda,Moinidae,,,Moinodaphnia,,,46
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Branchiopoda,,Diplostraca,,,,,,,22
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Branchiopoda,,Diplostraca,Daphniidae,,,Simocephalus,,,45
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,,,,,,,205
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,,,,,,,19
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Ceratopogonidae,,,,,,12
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,2212
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Chironomus,,,2030
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,,,73
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Tanytarsini,Tanytarsus,,,4
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Culicidae,,,Culex,,,1616
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Culicidae,,,Culex,Culex_vaxus,,189
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,,,,,,,33
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Baetidae,,,,,,1726
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,,,,,,,60
EC20210918-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Odonata,Libellulidae,,,Oligoclada,Oligoclada_pachystigma,,38
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Arachnida,Acari,Trombidiformes,,,,,,,2
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,,,,,,,1040
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Scirtidae,,,,,,16
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,,,,,,,106
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Ceratopogonidae,,,,,,230
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,178
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Chironomus,,,342
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,,comm_prob_not_in_Ecu,475
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Culicidae,,,Culex,,,152
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Culicidae,,,Culex,Culex_serratimarge,,1256
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Staphylinidae,,,,,,9
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Hemiptera,Notonectidae,,,,,,273
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Odonata,Libellulidae,,,,,,1497
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Ostracoda,,,,,,,,,32
EC20210919-2K,Metabarcoding ,Eukaryota,Arthropoda,Ostracoda,,Podocopida,Cyprididae,,,,,,172
